X,Y,OBJECTID,Unit_ID,Plant_ID,Unit,Unit_MW,Resource_ID,Start_Date,Retire_Date,Primary_Energy,PM_ID,Prime_Mover_Description,Prime_Move_Category
-121.925177630439919,38.411929461543991,8138,B0001Unit 1,B0001,Unit 1,2.4,VACADX_1_NAS,2013-07-01T00:00:00.000Z,,OTH,OT,Other (Explain in Notes),Other
-121.980345179772343,38.356281066771551,8139,B0002Unit 1,B0002,Unit 1,8,MONLTH_6_BATTRY,2016-04-08T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-121.750696922150723,37.307385650056951,8140,B0003Unit 1,B0003,Unit 1,4.8,SWIFT_1_NAS,2016-01-21T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-117.832385310305341,33.690941405533529,8141,B0004Unit 1,B0004,Unit 1,2,SANTGO_2_MABBT1,2017-01-04T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-117.559569142322715,34.004661626080399,8142,B0005Unit 1,B0005,Unit 1,10,MIRLOM_2_MLBBTA,2016-12-30T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-117.559088165454966,34.004661626080399,8143,B0006Unit 1,B0006,Unit 1,10,MIRLOM_2_MLBBTB,2016-12-30T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-117.735385179213722,34.094285864315026,8144,B0007Unit 1,B0007,Unit 1,20,CHINO_2_APEBT1,2016-12-31T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-117.117287553095608,33.126155399742913,8145,B0008Unit 1,B0008,Unit 1,10,ESCNDO_6_EB1BT1,2017-03-06T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-117.117375950912844,33.125946372752054,8146,B0009Unit 1,B0009,Unit 1,10,ESCNDO_6_EB2BT2,2017-03-06T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-117.117395016756433,33.125788151343635,8147,B0010Unit 1,B0010,Unit 1,10,ESCNDO_6_EB3T3,2017-03-06T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-115.539862426114965,32.802797920670415,8148,B0011Unit 1,B0011,Unit 1,29.7,,2016-12-01T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-118.382534229992103,33.92223893744255,8149,B0012Unit 1,B0012,Unit 1,0.53,ELNIDS_2_DODPEV,2015-12-18T00:00:00.000Z,,BAT,BA,Battery Storage,Other
-117.378595445295886,35.763731241350165,8150,C0001GEN 1,C0001,GEN 1,108,MCGEN_1_UNIT,1990-12-01T00:00:00.000Z,2014-10-01T00:00:00.000Z,PC,ST,Steam Turbine,SteamTurbine
-118.227837492904271,33.776060850990277,8151,C0002UNIT 1,C0002,UNIT 1,35.8,HINSON_6_CARBGN,1982-12-01T00:00:00.000Z,,PC,ST,Steam Turbine,SteamTurbine
-121.328445673379832,37.941459103903284,8152,C0004GEN 1,C0004,GEN 1,49.9,COGNAT_1_UNIT,1989-12-01T00:00:00.000Z,2011-01-01T00:00:00.000Z,BIT,ST,Steam Turbine,SteamTurbine
-120.913795886796478,38.277719378596444,8153,C00051,C0005,1,18.4,,1986-06-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,PC,ST,Steam Turbine,SteamTurbine
-119.648506589331319,36.269652483944519,8154,C0007GEN 1,C0007,GEN 1,24,GWFPWR_6_UNIT,1990-09-01T00:00:00.000Z,2011-10-18T00:00:00.000Z,PC,ST,Steam Turbine,SteamTurbine
-121.870336026723464,38.030857334591389,8155,C0008GEN 1,C0008,GEN 1,19,GWFPW1_6_UNIT,1990-12-01T00:00:00.000Z,2012-04-26T00:00:00.000Z,PC,ST,Steam Turbine,SteamTurbine
-121.860139525716221,38.015984357184806,8156,C0009GEN 1,C0009,GEN 1,19,GWFPW2_1_UNIT 1,1989-12-01T00:00:00.000Z,2012-04-26T00:00:00.000Z,PC,ST,Steam Turbine,SteamTurbine
-121.755818044210656,38.010731307177579,8157,C0010GEN 1,C0010,GEN 1,19,GWFPW3_1_UNIT 1,1989-10-01T00:00:00.000Z,2012-04-26T00:00:00.000Z,PC,ST,Steam Turbine,SteamTurbine
-121.780817173115835,38.011655921245122,8158,C0011GEN 1,C0011,GEN 1,19,GWFPW4_6_UNIT 1,1990-08-01T00:00:00.000Z,2012-04-26T00:00:00.000Z,PC,ST,Steam Turbine,SteamTurbine
-121.98751193192254,38.043512070800702,8159,C0012GEN 1,C0012,GEN 1,19,GWFPW5_6_UNIT 1,1990-03-01T00:00:00.000Z,2012-04-26T00:00:00.000Z,PC,ST,Steam Turbine,SteamTurbine
-119.006001777367885,35.577006641968893,8160,C0016S/N 412585,C0016,S/N 412585,63.6,MTNPOS_1_UNIT,1988-09-01T00:00:00.000Z,2011-11-01T00:00:00.000Z,BIT,ST,Steam Turbine,SteamTurbine
-117.383346891751785,35.765926797911362,8161,C0017TG #5,C0017,TG #5,7.5,SEARLS_7_ARGUS,1947-12-01T00:00:00.000Z,,BIT,ST,Steam Turbine,SteamTurbine
-117.382770026015649,35.765307616124126,8162,C0017TG #8,C0017,TG #8,27.5,SEARLS_7_ARGUS,1978-05-01T00:00:00.000Z,,BIT,ST,Steam Turbine,SteamTurbine
-117.382631597427022,35.765151988784062,8163,C0017TG #9,C0017,TG #9,27.5,SEARLS_7_ARGUS,1978-05-01T00:00:00.000Z,,BIT,ST,Steam Turbine,SteamTurbine
-119.051743126557596,35.74127994319737,8164,C0018Unit 1,C0018,Unit 1,33,VESTAL_6_ULTRGN,1989-09-01T00:00:00.000Z,2016-01-20T00:00:00.000Z,BIT,ST,Steam Turbine,SteamTurbine
-117.336564263993694,34.6038945634497,8165,C0019GEN1,C0019,GEN1,12,COLCEM_6_GEN 1,1954-12-01T00:00:00.000Z,2008-03-31T00:00:00.000Z,BIT,CT,Combined Cycle - Combustion Turbine portion,CombinedCycle
-117.336362634433257,34.603914684774985,8166,C0019GEN2,C0019,GEN2,12,COLCEM_6_GEN 2,1954-12-01T00:00:00.000Z,2008-03-31T00:00:00.000Z,BIT,CA,Combined Cycle - Steam Turbine portion,CombinedCycle
-121.260544209349277,37.912612215410796,8167,C0021GEN1,C0021,GEN1,55.1,STOKCG_1_UNIT 1,1988-03-01T00:00:00.000Z,2012-03-31T00:00:00.000Z,BIT,ST,Steam Turbine,SteamTurbine
-119.075594766383489,35.546937909986248,8168,C00221,C0022,1,33,ULTOGL_1_POSO,1989-09-01T00:00:00.000Z,2015-02-12T00:00:00.000Z,BIT,ST,Steam Turbine,SteamTurbine
-112.580601930468632,39.509228673570504,8169,C0023Unit 1,C0023,Unit 1,900,,1986-06-09T00:00:00.000Z,,BIT,ST,Steam Turbine,SteamTurbine
-112.579247690533407,39.509171005261756,8170,C0023Unit 2,C0023,Unit 2,900,,1987-05-01T00:00:00.000Z,,BIT,ST,Steam Turbine,SteamTurbine
-114.596757574018895,35.133063016543652,8171,C0024Unit 1,C0024,Unit 1,818.1,,1971-01-01T00:00:00.000Z,2005-12-31T00:00:00.000Z,SUB,ST,Steam Turbine,SteamTurbine
-114.5949576726847,35.132997886864018,8172,C0024Unit 2,C0024,Unit 2,818.1,,1971-01-01T00:00:00.000Z,2005-12-31T00:00:00.000Z,SUB,ST,Steam Turbine,SteamTurbine
-121.261062570505899,37.912794308558887,8173,E0002Unit 1,E0002,Unit 1,0,STOKCG_1_UNIT 1,2013-01-01T00:00:00.000Z,,OBG,ST,Steam Turbine,SteamTurbine
-121.137194624275267,41.133098157853652,8174,E0003BVP 1,E0003,BVP 1,9.38,MCARTH_6_BIGVAL,1983-07-01T00:00:00.000Z,2010-06-30T00:00:00.000Z,WDS,ST,Steam Turbine,SteamTurbine
-121.309801233082737,38.902996776158865,8175,E0004GEN 2,E0004,GEN 2,11.5,SPI LI_2_UNIT 1,1997-06-01T00:00:00.000Z,2004-05-28T00:00:00.000Z,WDS,ST,Steam Turbine,SteamTurbine
-121.309696467062722,38.902996238567688,8176,E0004GEN 3,E0004,GEN 3,1.5,SPI LI_2_UNIT 1,1999-02-01T00:00:00.000Z,2004-05-28T00:00:00.000Z,WDS,ST,Steam Turbine,SteamTurbine
-121.309749658107336,38.903197190413316,8177,E0004GEN 4,E0004,GEN 4,19.2,SPI LI_2_UNIT 1,2004-03-12T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-121.720203624204331,40.880244478599529,8178,E00051,E0005,1,31,BURNYF_2_UNIT 1,1989-10-01T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-121.639589156458825,40.910056628327602,8179,E0006GEN 1,E0006,GEN 1,11,MTNPWR_7_BURNEY,1985-01-01T00:00:00.000Z,2010-10-31T00:00:00.000Z,WDS,ST,Steam Turbine,SteamTurbine
-120.490507810609472,37.187090154536413,8180,E0007Unit 1,E0007,Unit 1,12.5,ELNIDP_6_BIOMAS,2008-08-15T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-120.248834193453234,37.107007231014236,8181,E0018Unit 1,E0018,Unit 1,12.5,CHWCHL_1_BIOMAS,2008-05-15T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-117.9570113016851,33.638796128218722,8182,E0025GEN 1,E0025,GEN 1,3,ELLIS_2_QF,1993-06-01T00:00:00.000Z,,OBG,IC,"Internal Combustion Engine (diesel, piston)",InternalCombustion
-117.95687651756154,33.638894846531734,8183,E0025GEN 2,E0025,GEN 2,3,ELLIS_2_QF,1993-06-01T00:00:00.000Z,,OBG,IC,"Internal Combustion Engine (diesel, piston)",InternalCombustion
-117.957038522434843,33.63828694960452,8184,E0025GEN 3,E0025,GEN 3,3,ELLIS_2_QF,1993-06-01T00:00:00.000Z,,OBG,IC,"Internal Combustion Engine (diesel, piston)",InternalCombustion
-117.956957767484042,33.638288654053831,8185,E0025GEN 4,E0025,GEN 4,3,ELLIS_2_QF,1993-06-01T00:00:00.000Z,,OBG,IC,"Internal Combustion Engine (diesel, piston)",InternalCombustion
-117.956878387853948,33.638288331711735,8186,E0025GEN 5,E0025,GEN 5,3,ELLIS_2_QF,1993-06-01T00:00:00.000Z,,OBG,IC,"Internal Combustion Engine (diesel, piston)",InternalCombustion
-117.956800105965172,33.638289840960852,8187,E0025GEN 6,E0025,GEN 6,1,ELLIS_2_QF,1993-06-01T00:00:00.000Z,,OBG,ST,Steam Turbine,SteamTurbine
-121.244119494441136,40.302080683532274,8188,E0026GEN4,E0026,GEN4,12,COLPIN_6_COLLNS,1985-12-01T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-116.088745126391331,33.586252401590727,8189,E0027GEN1,E0027,GEN1,47,MIRAGE_2_COCHLA,1991-11-01T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-119.233823691744888,35.71841041106849,8190,E0029Delano 1,E0029,Delano 1,32,PANDOL_6_UNIT 1,1989-12-01T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-119.234386095503226,35.718398267580412,8191,E0029Delano 2,E0029,Delano 2,26,PANDOL_6_UNIT 2,1994-02-01T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-121.256535235747094,37.949945955362658,8192,E0032DWG 1,E0032,DWG 1,4.5,,1981-04-01T00:00:00.000Z,2005-11-11T00:00:00.000Z,AB,GT,Combustion (gas) Turbine,GasTurbine
-119.418424804753613,36.56983724119992,8193,E00331,E0033,1,12,DINUBA_6_UNIT,2003-07-01T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-119.418647994779178,36.569803774592593,8194,E0033DSPV,E0033,DSPV,1,,2011-11-01T00:00:00.000Z,,SUN,PV,Photovoltaic,PhotoVoltaic
-122.295507362513121,37.825975972645189,8195,E0036GEN 1,E0036,GEN 1,2.15,OAK L_7_EBMUD,1985-08-01T00:00:00.000Z,,OBG,IC,"Internal Combustion Engine (diesel, piston)",InternalCombustion
-122.295500678149111,37.826209542658482,8196,E0036GEN 2,E0036,GEN 2,2.15,OAK L_7_EBMUD,1985-08-01T00:00:00.000Z,,OBG,IC,"Internal Combustion Engine (diesel, piston)",InternalCombustion
-122.295449635874647,37.826219576494701,8197,E0036GEN 3,E0036,GEN 3,2.15,OAK L_7_EBMUD,1985-08-01T00:00:00.000Z,,OBG,IC,"Internal Combustion Engine (diesel, piston)",InternalCombustion
-124.203346058024238,40.799170785154523,8198,E0037GEN 1,E0037,GEN 1,15,FAIRHV_6_UNIT,1986-09-15T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-120.31756318642185,37.966558361678743,8199,E0038GEN1,E0038,GEN1,7.5,SPIFBD_1_PL1X2,2012-01-01T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-120.318123861821618,37.966502731463564,8200,E00381,E0038,1,7.5,SPIFBD_1_PL1X2,2001-02-01T00:00:00.000Z,2009-09-28T00:00:00.000Z,WDS,ST,Steam Turbine,SteamTurbine
-123.810802566416385,39.443833323338296,8201,E0039GEN1,E0039,GEN1,15,,1980-01-01T00:00:00.000Z,2001-12-31T00:00:00.000Z,WDS,GT,Combustion (gas) Turbine,GasTurbine
-120.264375444025561,40.368226228750238,8202,E0041GEN 1,E0041,GEN 1,35.5,HONEYL_6_UNIT,1989-07-26T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-115.512193786256375,32.903329693896211,8203,E00421,E0042,1,17.9,,1988-01-01T00:00:00.000Z,2008-12-31T00:00:00.000Z,UNK,ST,Steam Turbine,SteamTurbine
-115.512195166966976,32.903229316873421,8204,E0042L313,E0042,L313,17.9,,1988-01-01T00:00:00.000Z,2008-12-31T00:00:00.000Z,OGW,ST,Steam Turbine,SteamTurbine
-120.629097706144051,37.361580294101742,8205,E0043GEN1,E0043,GEN1,1.05,,1992-01-01T00:00:00.000Z,2004-12-31T00:00:00.000Z,NG,IC,"Internal Combustion Engine (diesel, piston)",InternalCombustion
-124.195508999178713,40.80501202585932,8206,E0048GEN1,E0048,GEN1,20,LAPAC_6_UNIT,1965-05-01T00:00:00.000Z,2008-12-31T00:00:00.000Z,BLQ,ST,Steam Turbine,SteamTurbine
-120.339545776196232,36.861858625787256,8207,E00501,E0050,1,25,CAPMAD_1_UNIT 1,2001-06-01T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-120.808297757795799,38.367915410135637,8208,E0051Unit 1,E0051,Unit 1,18,,1986-03-01T00:00:00.000Z,2003-12-01T00:00:00.000Z,OGW,ST,Steam Turbine,SteamTurbine
-120.365900002029406,36.755678291300541,8209,E00521,E0052,1,28,MENBIO_6_UNIT,1989-07-01T00:00:00.000Z,,WDS,ST,Steam Turbine,SteamTurbine
-120.365901681879009,36.755557475961446,8210,E0052Main,E0052,Main,25,MENBIO_6_UNIT,1989-11-01T00:00:00.000Z,,OGW,ST,Steam Turbine,SteamTurbine
